form_schluessel;lemma;tokens;grund;beispiele
opfertiren;lemma_6080;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_85vb_18_0 opfertiren | WZB_101vb_18_2 opfertiren | WZB_102ra_5_3 opfertiren
gerete;lemma_2149;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_87rb_30_2 gerete | WZB_87rb_34_2 gerete | WZB_95va_37_3 gerete
gesvndet;lemma_5867;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_89vb_4_6 gesvndet | WZB_89vb_11_5 gesvndet | WZB_102rb_8_2 gesvndet
bedakte;lemma_433;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_92rb_15_8 bedakte | WZB_94va_9_3 bedakte | WZB_94va_28_3 bedakte
vngemeiligtes;lemma_18886;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_99ra_13_4 vngemeiligtes | WZB_100rb_20_6 vngemeiligtes | WZB_101ra_2_1 vngemeiligtes
geczelden;lemma_2361;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_124rb_19_2 geczelden | WZB_124rb_21_4 geczelden | WZB_150rb_9_2 geczelden
hebreer;lemma_2;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_13ra_7_3 hebreer | WZB_53vb_27_1 hebreer | WZB_54vb_6_6 hebreer
geczeugnusse;lemma_2367;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_19ra_22_1 geczeugnusse | WZB_31vb_10_4 geczeugnusse | WZB_31vb_13_6 geczeugnusse
pilgereimen;lemma_706;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_49va_22_0 pilgereimen | WZB_117rb_8_2 pilgereimen | WZB_117rb_8_6 pilgereimen
keuchel;lemma_2;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_51vb_13_2 keuchel | WZB_102va_12_3 keuchel | WZB_102va_36_2 keuchel
vorgiengen;lemma_6851;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_52va_14_0 vorgiengen | WZB_150va_18_1 vorgiengen | WZB_151rb_5_9 vorgiengen
lose;lemma_3818;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_66vb_36_4 lose | WZB_67ra_15_0 lose | WZB_91vb_15_2 lose
vorporgen;lemma_6814;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_76va_27_0 vorporgen | WZB_135va_5_1 vorporgen | WZB_208ra_13_0 vorporgen
steineine;lemma_5746;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_79ra_18_1 steineine | WZB_88rb_23_1 steineine | WZB_179vb_2_3 steineine
ringel;lemma_4917;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_80rb_30_1 ringel | WZB_80rb_37_3 ringel | WZB_80va_5_0 ringel
vndergank;lemma_33210;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_81va_29_3 vndergank | WZB_132rb_7_1 vndergank | WZB_188vb_4_4 vndergank
ouserhalb;lemma_6346;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_82ra_8_1 ouserhalb | WZB_98va_6_2 ouserhalb | WZB_101rb_22_0 ouserhalb
horner;lemma_2904;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_82ra_33_5 horner | WZB_85rb_3_2 horner | WZB_101va_14_1 horner
gebleichter;lemma_744;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_83rb_25_4 gebleichter | WZB_93vb_9_3 gebleichter | WZB_94va_25_2 gebleichter
stvnd;lemma_5710;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_90rb_11_7 stvnd | WZB_90rb_23_2 stvnd | WZB_157vb_2_0 stvnd
neczil;lemma_4339;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_100rb_37_0 neczil | WZB_100va_31_5 neczil | WZB_101rb_9_0 neczil
weirouches;lemma_31613;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_101ra_17_3 weirouches | WZB_102vb_4_0 weirouches | WZB_134ra_13_3 weirouches
giesse;lemma_2392;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_101va_17_4 giesse | WZB_101vb_15_1 giesse | WZB_101vb_36_5 giesse
gehere;lemma_2034;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_111va_8_2 gehere | WZB_111va_15_4 gehere | WZB_111va_20_4 gehere
vorlasen;lemma_6881;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_128vb_3_3 vorlasen | WZB_135rb_11_3 vorlasen | WZB_142ra_7_1 vorlasen
kvnigs;lemma_3507;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_144vb_15_3 kvnigs | WZB_159rb_30_3 kvnigs | WZB_170rb_16_5 kvnigs
vorsteten;lemma_44091;9;kein Typ fuer dieses Paar im Korpus belegt;WZB_173ra_11_2 vorsteten | WZB_235rb_23_2 vorsteten | WZB_235rb_28_3 vorsteten
schepfte;lemma_5212;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_2vb_2_2 schepfte | WZB_3ra_37_4 schepfte | WZB_3rb_31_8 schepfte
erczurnet;lemma_1718;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_5va_8_1 erczurnet | WZB_40vb_5_5 erczurnet | WZB_108va_20_1 erczurnet
dreihundert;lemma_1220;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_6vb_6_0 dreihundert | WZB_9vb_17_2 dreihundert | WZB_10vb_15_6 dreihundert
czigel;lemma_11848;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_10va_9_4 czigel | WZB_10va_11_2 czigel | WZB_53vb_23_4 czigel
czwisschen;lemma_13093;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_12ra_22_4 czwisschen | WZB_13vb_22_4 czwisschen | WZB_30ra_17_3 czwisschen
bŏze;lemma_788;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_12rb_30_1 bŏze | WZB_16va_10_4 bŏze | WZB_40ra_35_0 bŏze
geheisse;lemma_2024;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_25va_13_3 geheisse | WZB_52va_13_3 geheisse | WZB_98va_3_1 geheisse
vorsmehet;lemma_6961;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_28va_36_5 vorsmehet | WZB_75va_13_0 vorsmehet | WZB_127va_32_0 vorsmehet
wechsilnde;lemma_7442;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_34va_35_3 wechsilnde | WZB_44rb_21_2 wechsilnde | WZB_45rb_12_4 wechsilnde
eckern;lemma_51;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_35ra_13_4 eckern | WZB_40ra_14_1 eckern | WZB_60vb_7_5 eckern
reisse;lemma_4893;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_38rb_25_2 reisse | WZB_38va_6_5 reisse | WZB_84rb_7_5 reisse
weintrouben;lemma_26945;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_41ra_18_4 weintrouben | WZB_51vb_17_1 weintrouben | WZB_136rb_10_3 weintrouben
trouben;lemma_15282;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_41ra_22_1 trouben | WZB_118vb_11_1 trouben | WZB_125rb_32_0 trouben
streitende;lemma_5818;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_51va_20_10 streitende | WZB_157rb_31_5 streitende | WZB_169vb_27_5 streitende
dorvber;lemma_1091;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_55ra_16_3 dorvber | WZB_76ra_20_4 dorvber | WZB_98rb_19_5 dorvber
geusse;lemma_2392;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_56vb_7_0 geusse | WZB_81rb_33_1 geusse | WZB_85ra_4_3 geusse
ŏpfil;lemma_261;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_63va_18_6 ŏpfil | WZB_97rb_26_1 ŏpfil | WZB_97rb_32_0 ŏpfil
endlisten;lemma_22669;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_84rb_5_4 endlisten | WZB_154vb_17_1 endlisten | WZB_205vb_29_1 endlisten
geczeuknus;lemma_2367;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_85vb_35_3 geczeuknus | WZB_86rb_25_3 geczeuknus | WZB_96vb_6_3 geczeuknus
bleiblinge;lemma_504;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_86ra_10_5 bleiblinge | WZB_160va_7_4 bleiblinge | WZB_225ra_22_4 bleiblinge
thimiamischen;lemma_11856;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_87rb_31_2 thimiamischen | WZB_88ra_13_5 thimiamischen | WZB_92vb_12_2 thimiamischen
wanderst;lemma_15174;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_90va_36_4 wanderst | WZB_184vb_2_6 wanderst | WZB_187ra_33_4 wanderst
vberige;lemma_6375;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_102ra_20_5 vberige | WZB_102vb_11_7 vberige | WZB_105vb_19_6 vberige
anruret;lemma_20574;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_104vb_19_1 anruret | WZB_109va_14_1 anruret | WZB_109va_18_2 anruret
derlei;lemma_3685;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_109va_6_6 derlei | WZB_109va_32_4 derlei | WZB_114va_37_2 derlei
enczuntem;lemma_1511;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_110rb_16_1 enczuntem | WZB_113ra_30_2 enczuntem | WZB_115vb_7_3 enczuntem
volken;lemma_7166;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_120va_18_3 volken | WZB_179rb_30_0 volken | WZB_183va_17_3 volken
czigenpock;lemma_784;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_137vb_17_3 czigenpock | WZB_138vb_10_3 czigenpock | WZB_138vb_30_3 czigenpock
ieriger;lemma_27278;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_164ra_29_0 ieriger | WZB_165vb_28_3 ieriger | WZB_166ra_4_5 ieriger
vngemeiligter;lemma_18886;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_165vb_10_0 vngemeiligter | WZB_165vb_28_4 vngemeiligter | WZB_166ra_5_0 vngemeiligter
besiczvnge;lemma_44139;8;kein Typ fuer dieses Paar im Korpus belegt;WZB_194vb_26_4 besiczvnge | WZB_226vb_2_5 besiczvnge | WZB_228va_32_3 besiczvnge
krichenden;lemma_3464;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_3rb_30_2 krichenden | WZB_7ra_36_8 krichenden | WZB_7va_17_2 krichenden
vorterbten;lemma_6835;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_5vb_21_3 vorterbten | WZB_167va_19_2 vorterbten | WZB_177vb_18_1 vorterbten
knechtel;lemma_3377;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_7vb_24_3 knechtel | WZB_14va_36_3 knechtel | WZB_14vb_6_1 knechtel
ber;lemma_2;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_11ra_2_0 ber | WZB_89rb_2_0 ber | WZB_161rb_24_0 ber
vnfruchtber;lemma_22850;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_11rb_4_0 vnfruchtber | WZB_23va_27_2 vnfruchtber | WZB_28va_27_1 vnfruchtber
czeige;lemma_7784;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_11rb_19_3 czeige | WZB_62ra_21_4 czeige | WZB_73ra_2_7 czeige
bleibende;lemma_504;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_12rb_27_1 bleibende | WZB_28va_26_3 bleibende | WZB_112ra_17_2 bleibende
vrteilen;lemma_55908;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_13vb_10_0 vrteilen | WZB_75vb_31_1 vrteilen | WZB_111ra_10_4 vrteilen
few̆ers;lemma_7108;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_13vb_22_2 few̆ers | WZB_67rb_19_0 few̆ers | WZB_95vb_4_2 few̆ers
hinderteil;lemma_24741;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_14rb_21_2 hinderteil | WZB_81rb_7_1 hinderteil | WZB_83vb_24_1 hinderteil
wirft;lemma_7489;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_14va_10_1 wirft | WZB_114va_12_4 wirft | WZB_127va_18_0 wirft
grŏsten;lemma_2534;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_16va_32_1 grŏsten | WZB_34vb_35_4 grŏsten | WZB_49vb_25_4 grŏsten
verrens;lemma_6913;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_19rb_24_4 verrens | WZB_37vb_35_3 verrens | WZB_75ra_7_5 verrens
pilgereime;lemma_706;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_24rb_3_9 pilgereime | WZB_77va_27_0 pilgereime | WZB_125rb_4_2 pilgereime
czeigte;lemma_7784;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_40va_7_0 czeigte | WZB_69vb_9_0 czeigte | WZB_140va_4_4 czeigte
besiczungen;lemma_44139;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_50vb_10_4 besiczungen | WZB_61va_33_2 besiczungen | WZB_61va_34_4 besiczungen
czale;lemma_7755;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_64va_12_8 czale | WZB_78rb_14_4 czale | WZB_96va_9_4 czale
gesneite;lemma_5594;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_64vb_23_3 gesneite | WZB_85rb_7_4 gesneite | WZB_85rb_23_3 gesneite
mittagis;lemma_20031;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_81rb_31_3 mittagis | WZB_82ra_10_2 mittagis | WZB_82va_2_1 mittagis
erein;lemma_1285;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_82ra_27_0 erein | WZB_94va_29_5 erein | WZB_95vb_6_3 erein
geceldis;lemma_2361;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_82va_24_4 geceldis | WZB_88ra_10_6 geceldis | WZB_90rb_13_5 geceldis
dovmen;lemma_1243;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_85va_2_3 dovmen | WZB_106rb_3_1 dovmen | WZB_106rb_8_3 dovmen
fuzes;lemma_7320;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_85va_3_3 fuzes | WZB_106rb_4_4 fuzes | WZB_112vb_31_6 fuzes
czagil;lemma_7750;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_85va_14_0 czagil | WZB_100va_25_3 czagil | WZB_104ra_36_4 czagil
purpir;lemma_4763;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_93ra_10_4 purpir | WZB_93ra_20_2 purpir | WZB_94va_12_3 purpir
rouchvas;lemma_11699;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_95rb_2_0 rouchvas | WZB_149va_23_1 rouchvas | WZB_150ra_21_4 rouchvas
tvnke;lemma_59702;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_101vb_10_0 tvnke | WZB_112va_17_5 tvnke | WZB_112vb_34_0 tvnke
lemmern;lemma_3589;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_102ra_11_0 lemmern | WZB_148rb_30_3 lemmern | WZB_164rb_11_2 lemmern
czelen;lemma_7793;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_123rb_18_0 czelen | WZB_125va_10_0 czelen | WZB_130rb_15_4 czelen
iarczal;lemma_9803;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_130rb_9_3 iarczal | WZB_131va_7_1 iarczal | WZB_131vb_25_3 iarczal
czigenpocke;lemma_784;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_138rb_29_4 czigenpocke | WZB_138vb_14_0 czigenpocke | WZB_139rb_20_6 czigenpocke
mowern;lemma_4220;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_146ra_8_2 mowern | WZB_157vb_17_0 mowern | WZB_172vb_19_1 mowern
gereiczet;lemma_4862;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_163rb_25_4 gereiczet | WZB_185va_28_1 gereiczet | WZB_185va_33_9 gereiczet
honikseim;lemma_16515;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_182va_32_0 honikseim | WZB_188ra_13_0 honikseim | WZB_202vb_12_0 honikseim
newkomen;lemma_8598;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_201rb_17_3 newkomen | WZB_201rb_31_1 newkomen | WZB_201va_4_5 newkomen
ostnischen;lemma_2;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_219va_33_2 ostnischen | WZB_227vb_17_3 ostnischen | WZB_228va_10_0 ostnischen
vorheusern;lemma_33704;7;kein Typ fuer dieses Paar im Korpus belegt;WZB_235va_5_2 vorheusern | WZB_235va_10_6 vorheusern | WZB_235va_13_1 vorheusern
nevnhundert;lemma_13645;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_6va_3_2 nevnhundert | WZB_6va_10_3 nevnhundert | WZB_6va_17_2 nevnhundert
vormeiligt;lemma_18886;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_7rb_9_9 vormeiligt | WZB_122va_16_0 vormeiligt | WZB_135va_12_0 vormeiligt
gereicht;lemma_4842;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_13rb_19_2 gereicht | WZB_24va_23_4 gereicht | WZB_30rb_17_5 gereicht
geperen;lemma_1964;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_14rb_8_3 geperen | WZB_15ra_11_11 geperen | WZB_15ra_20_2 geperen
wachsende;lemma_7360;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_14va_13_3 wachsende | WZB_24va_25_1 wachsende | WZB_24vb_25_1 wachsende
seuche;lemma_11369;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_15va_21_0 seuche | WZB_62ra_18_4 seuche | WZB_110rb_9_1 seuche
mynnern;lemma_4134;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_17rb_26_3 mynnern | WZB_17va_7_2 mynnern | WZB_23vb_11_1 mynnern
erstgebornen;lemma_34610;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_19rb_10_0 erstgebornen | WZB_38vb_17_2 erstgebornen | WZB_57rb_19_1 erstgebornen
czeigen;lemma_7784;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_19rb_15_1 czeigen | WZB_56vb_36_3 czeigen | WZB_67rb_11_1 czeigen
vorchtest;lemma_7298;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_19va_30_1 vorchtest | WZB_182va_18_1 vorchtest | WZB_184ra_35_0 vorchtest
gegenworticheit;lemma_36056;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_20rb_26_3 gegenworticheit | WZB_47ra_32_6 gegenworticheit | WZB_59vb_22_4 gegenworticheit
ŏrringe;lemma_4448;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_21va_7_4 ŏrringe | WZB_21va_35_3 ŏrringe | WZB_22rb_16_3 ŏrringe
alraunen;lemma_31502;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_29ra_18_5 alraunen | WZB_29ra_21_5 alraunen | WZB_29ra_25_6 alraunen
dorous;lemma_1090;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_41rb_17_2 dorous | WZB_71vb_4_1 dorous | WZB_89va_2_8 dorous
vorkoufe;lemma_6879;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_43va_2_3 vorkoufe | WZB_125vb_16_2 vorkoufe | WZB_129vb_10_1 vorkoufe
weicz;lemma_11998;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_43va_2_4 weicz | WZB_46ra_16_8 weicz | WZB_48rb_2_0 weicz
gevenknusse;lemma_6754;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_43vb_33_4 gevenknusse | WZB_44va_9_8 gevenknusse | WZB_58va_27_1 gevenknusse
esiln;lemma_1723;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_45va_13_3 esiln | WZB_46ra_21_2 esiln | WZB_168va_2_5 esiln
brustil;lemma_909;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_52ra_28_7 brustil | WZB_105ra_27_3 brustil | WZB_105ra_33_1 brustil
gerufet;lemma_5028;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_56ra_30_0 gerufet | WZB_87vb_25_2 gerufet | WZB_92ra_33_1 gerufet
be;lemma_2;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_57va_11_5 be | WZB_65ra_30_7 be | WZB_66rb_28_1 be
nichtenicht;lemma_2;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_57vb_11_7 nichtenicht | WZB_62va_20_0 nichtenicht | WZB_146va_9_6 nichtenicht
clouben;lemma_3371;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_57vb_14_3 clouben | WZB_57vb_35_1 clouben | WZB_123va_27_2 clouben
gepflaget;lemma_46781;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_58rb_23_0 gepflaget | WZB_58rb_28_1 gepflaget | WZB_59vb_33_4 gepflaget
leuitischen;lemma_2;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_59ra_22_2 leuitischen | WZB_194rb_5_5 leuitischen | WZB_194vb_4_1 leuitischen
knechtels;lemma_3377;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_67ra_13_1 knechtels | WZB_130vb_2_1 knechtels | WZB_133va_2_10 knechtels
reitenden;lemma_4885;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_68rb_5_3 reitenden | WZB_68va_32_4 reitenden | WZB_68vb_7_0 reitenden
vorczert;lemma_7817;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_73ra_6_3 vorczert | WZB_103vb_25_5 vorczert | WZB_169va_23_4 vorczert
czan;lemma_7764;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_75vb_34_4 czan | WZB_75vb_34_6 czan | WZB_76ra_8_0 czan
gegenwortig;lemma_36573;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_76vb_28_1 gegenwortig | WZB_76vb_30_7 gegenwortig | WZB_158va_2_7 gegenwortig
vorczihen;lemma_7036;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_78ra_6_3 vorczihen | WZB_90vb_23_6 vorczihen | WZB_155ra_23_2 vorczihen
oniknien;lemma_4446;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_79va_11_0 oniknien | WZB_83rb_27_1 oniknien | WZB_87va_19_1 oniknien
nvs;lemma_4441;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_80rb_36_3 nvs | WZB_80va_4_1 nvs | WZB_80va_11_1 nvs
centner;lemma_12261;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_80va_29_1 centner | WZB_95rb_35_5 centner | WZB_96va_6_3 centner
geverbten;lemma_7018;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_81rb_18_2 geverbten | WZB_94ra_23_1 geverbten | WZB_97va_36_0 geverbten
behaldende;lemma_453;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_82va_33_1 behaldende | WZB_137vb_7_3 behaldende | WZB_138va_21_1 behaldende
leineine;lemma_3736;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_84va_10_7 leineine | WZB_84va_19_1 leineine | WZB_97va_4_4 leineine
endliste;lemma_22669;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_85rb_36_1 endliste | WZB_106rb_1_2 endliste | WZB_106rb_7_1 endliste
tires;lemma_6080;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_92ra_7_1 tires | WZB_100rb_24_0 tires | WZB_100va_16_1 tires
giessende;lemma_2392;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_94va_5_2 giessende | WZB_94va_19_3 giessende | WZB_94vb_7_3 giessende
tousenten;lemma_6267;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_96va_20_2 tousenten | WZB_96va_21_2 tousenten | WZB_96va_32_1 tousenten
vorbruen;lemma_6824;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_101va_31_3 vorbruen | WZB_112ra_21_1 vorbruen | WZB_112ra_32_3 vorbruen
vorbindet;lemma_6820;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_102rb_20_1 vorbindet | WZB_166vb_5_0 vorbindet | WZB_166vb_10_5 vorbindet
abscheidunge;lemma_2;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_105rb_5_2 abscheidunge | WZB_110ra_33_0 abscheidunge | WZB_115ra_13_1 abscheidunge
schupen;lemma_2;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_109ra_6_0 schupen | WZB_109ra_9_1 schupen | WZB_109ra_15_1 schupen
meilige;lemma_17858;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_118ra_29_2 meilige | WZB_118ra_31_4 meilige | WZB_118ra_37_5 meilige
vnmenschlichkeit;lemma_21755;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_118ra_35_6 vnmenschlichkeit | WZB_190vb_7_4 vnmenschlichkeit | WZB_193vb_35_6 vnmenschlichkeit
funfczehenden;lemma_7291;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_122vb_27_1 funfczehenden | WZB_124ra_3_2 funfczehenden | WZB_124ra_31_0 funfczehenden
veierlich;lemma_32980;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_122vb_32_2 veierlich | WZB_123va_16_3 veierlich | WZB_124ra_7_2 veierlich
povme;lemma_820;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_127vb_24_4 povme | WZB_146ra_10_4 povme | WZB_193vb_11_0 povme
stakten;lemma_2;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_142ra_19_1 stakten | WZB_155vb_34_2 stakten | WZB_170vb_34_4 stakten
vorstete;lemma_44091;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_172vb_14_5 vorstete | WZB_228vb_26_0 vorstete | WZB_235ra_10_6 vorstete
vluchtigen;lemma_7142;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_173ra_26_1 vluchtigen | WZB_173ra_36_1 vluchtigen | WZB_173vb_15_4 vluchtigen
vleissiclich;lemma_7126;6;kein Typ fuer dieses Paar im Korpus belegt;WZB_182vb_28_1 vleissiclich | WZB_193vb_34_1 vleissiclich | WZB_195va_35_1 vleissiclich
strase;lemma_5798;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_1vb_21_4 strase | WZB_155ra_7_2 strase | WZB_155ra_17_0 strase
"geslechte;";lemma_2233;5;kein Typ fuer dieses Paar im Korpus belegt;"WZB_3rb_15_3 geslechte; | WZB_109rb_4_0 geslechte; | WZB_109rb_8_0 geslechte;"
hiesse;lemma_18885;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_4ra_25_4 hiesse | WZB_14ra_2_4 hiesse | WZB_28rb_10_6 hiesse
vorpoten;lemma_6819;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_8rb_25_6 vorpoten | WZB_101vb_25_2 vorpoten | WZB_102vb_31_2 vorpoten
meneden;lemma_3910;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_8rb_37_1 meneden | WZB_39va_24_6 meneden | WZB_64va_7_1 meneden
rackte;lemma_4825;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_8va_17_6 rackte | WZB_19va_19_3 rackte | WZB_39vb_10_3 rackte
nen;lemma_2;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_8vb_3_0 nen | WZB_26vb_2_0 nen | WZB_57rb_2_0 nen
virczehenden;lemma_7072;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_12vb_3_0 virczehenden | WZB_65ra_34_2 virczehenden | WZB_122vb_24_2 virczehenden
benvmet;lemma_516;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_13va_14_0 benvmet | WZB_54va_26_5 benvmet | WZB_82va_29_2 benvmet
besneiden;lemma_586;5;kein Typ fuer dieses Paar im Korpus belegt;WZB_14va_37_0 besneiden | WZB_34vb_3_1 besneiden | WZB_34vb_25_0 besneiden
