TITLE;AUTHOR;EDITION;DESCRIPTION;LINECODE;IMAGE;TYPE;TITLEEXTENTION;ORIGIN;EDITIONINFO;VOLUMEID;VOLUMETITEL;ID;PUBYEAR;PUBFREE;Kapitel in Edition?;Zerlegung erforderlich?;Spalte1;Datum Zitat GND;Datum Zitat VL;Stellenangabe VL;Datum von;Datum bis;Datum Abweichung;Norm Werk WikiData;Norm Werk GND;MWB-Sigle;Norm Bibl DND;Norm Bibl Google Books;Norm Bibl ÖNB
Gauriel von Muntabel;9;"Gauriel von Muntabel, eine höfische Erzählung aus dem 13. Jahrhunderte,

Hrsg. Ferdinand Khull, Graz 1885.";"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;16;;;;;;GL;;;;;;;;;;;;;;;;;
Der milde König;;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 71 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DMK;;;;;;;;;;;;;;;;;
Der Sünder und der Einsiedel;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 79 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DSE;;;;;;;;;;;;;;;;;
Der Spiegel;;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 82 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DSP;;;;;;;;;;;;;;;;;
Die verlorenen Christen;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 103 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aaa---;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DVC;;;;;;;;;;;;;;;;;
Die tumben Pfaffen;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 108 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DTP;;;;;;;;;;;;;;;;;
Der Jüngere Sigenot;;"Der jüngere Sigenot, nach sämtlichen Handschriften und Drucken hrsg. von A. Clemens Schoener. Heidelberg, C. Winter, 1928. (Germanische Bibliothek. 3.Abt.; Kritische Ausgaben altdeutscher Texte; Bd. 6) Elektronische Fassung von Henrike Lähnemann redigiert.";"lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000sss--;;2;;;;;;JSG;;;;;;;;;;;;;;;;;
Süezkint;425;"Hrsg. F. Pfaff, Heidelberg 1899/1909

Deutsche Liederdichter des 13. Jahrhunderts, Hrsg. C. von Kraus, Tübingen 1952.";"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000ds--;;5;;;;;;SZK;;;;;;;;;;;;;;;;;
Nibelungenlied (Hs. B );;Das Nibelungenlied: Paralleldruck d. Hs. A, B u. C nebst Lesarten der übrigen Handschriften, hrsg. von Michael S. Batts. Tübingen: Niemeyer, 1971. Elektronischer Text von Brigitte Karner und H. Reichert.;"Teilweise lemmatisiert. Nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000ssss-;;2;nach Batts;;;;;NBB;1971;1;;;;;;;;;;;;;;;
Die geweihten Toren;;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 110 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DGT;;;;;;;;;;;;;;;;;
Die Rebhühner;706;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Der Text beginnt mit Abschnitt 116. Diese Nummer entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000aaa---;1576;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DRH;;;;;;;;;;;;;;;;;
Heinrich von Veldeke (limburg. Fassg.);41;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MVL;;;;;;;;;;;;;;;;;
Ulrich von Gutenburg;184;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MUG;;;;;;;;;;;;;;;;;
Albrecht von Johansdorf;204;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MAJ;;;;;;;;;;;;;;;;;
Bernger von Horheim;225;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MBH;;;;;;;;;;;;;;;;;
Hartwig von Rute;226;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MHT;;;;;;;;;;;;;;;;;
Rudolf von Fenis;230;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MRF;;;;;;;;;;;;;;;;;
Der Ackermann aus Böhmen (Knieschek 1877);726;Der Ackermann aus Boehmen. Hrsg. v. Johann Knieschek. Prag: Verl. d. Vereins für Geschicht d. Deutschen in Boehmen, in Commission bei F.H. Brockhaus in Leipzig, 1877 (= Bibliothek der mittelhd. Litteratur in Boehmen, Bd. II);Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.;00000000000000pp--h;1736;121;;;;;;AC2;;;;;;;;;;;;;;;;;
Der kluge Knecht;4;Novellistik des Mittelalters. Märendichtung. Hrsg., übers. und kommentiert von Klaus Grubmüller. Frankfurt/M, Deutscher Klassiker Verlag, 1996. S. 10-28. (Bibl. d. Mittelalters, Bd. 23);"lemmatisiert, noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;;;NDM;Novellistik des Mittelalters. Märendichtung;SKK;1996;1;;;;;;;;;;;;;;;
Der Welsche Gast;405;"Der Wälsche Gast des Thomasin von Zirclaria. Hrsg. von Heinrich Rückert. Mit einer Einleitung und einem Register von Friedrich Naumann (Deutsche Neudrucke; Reihe: Texte des Mittelalters). Berlin 1965.

Die Einschübe orientieren sich an der digitalen Edition von Minoru Shigeto, Ute Recker und Steven M. Wight: https://www.hs-augsburg.de/~harsch/germanica/Chronologie/13Jh/Thomasin/dwg1.htm (13.05.2016)";"Nur teilweise lemmatisiert, nicht disambiguiert.



Die Zeilenzählung der ursprünglichen Edition weist zwei Auslassungen auf. Deshalb gilt folgende Umrechnung von unserer Version zur Buchausgabe:



Vers 1300 -1495 = +5  Verse

ab Vers 1500    = +10 Verse



Die Einschübe folgen nach den folgenden Verszeilen:



Nach Vers    136  =  4 Verse

Nach Vers   2496  = 30 Verse

Nach Vers   2516  =  4 Verse

Nach Vers   6526  =  2 Verse

Nach Vers   7328  =  2 Verse

Nach Vers   7638  =  6 Verse

Nach Vers   7750  =  6 Verse

Nach Vers  14742  =  4 Verse

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000-----ii;;101;;;;;;WGA;1965;1;;;;;;;;;;;;;;;
Der geäffte Pfaffe;;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 209 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DGP;;;;;;;;;;;;;;;;;
Weltchronik;525;"Jansen Enikels Werke. Hrsg.v. Philipp Strauch, Hannover 1891/München 1980. (= Monumenta Germaniae Historica, 

Deutsche Chroniken Bd. III, 1)

Digitale Version: Ulrich Harsch: https://www.hs-augsburg.de/~harsch/germanica/Chronologie/13Jh/JansEnikel/jan_intr.html (09.08.2017)";"Der Hauptteil des Werkes umfasst 28958 Verszeilen beginnend mit Vers 1. Daneben gibt es zwei Anhänge von 140 bzw. 1504 Verszeilen (sie erscheinen als separate Textdateien).  



Der Text weist zahlreiche Überschriften und Einschübe, vorwiegend aus der Hs. B. auf (nach 918;1084;1428;1512;1720;1932;1968;2366;2618;3150;3368;3640;3648;4308;4402;5064;5202;6098;6514;7148;7422;8130;8366;

8376;8548;8706;8890;8966;8982;9746;

10402;10588;10808;10844;10864;10874;

11076;12490;12854;12960;12976;12988;

14298;14306;14356;15060;15448;15640;

15792;16016;16020;16108;16140;16200;

17098;17438;17626;23800;22284 [Liste der Päpste];26234[aus Hs.10];27652[Prosaeinlage ""Von den Königen""[2.11.12.14.]];28074; [Hs.10];28078[Hs.10].



Noch nicht lemmatisiert und disambiguiert.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000-----iiihh;;41;;"Mehr Information:

http://www.dunphy.de/ac/je/jehome.htm

http://www.dunphy.de/ac/je/wineskin.htm

Faksimileseiten: http://www.uni-tuebingen.de/mediaevistik/materialien/weltchronik.html";"Bayerische Staatsbibliothek München,

Cgm 5.";;;JEW;1891;1;;;;;;;;;;;;;;;
Christi Hort;606;"Gundackers von Judenburg Christi Hort; aus der Wiener Handschrift hrsg. von J. Jaksche. Berlin, Weidmann, 1910 (= Deutsche Texte des Mittelalters ; Bd. 18)

Digitale Edition beruht zum Teil auf der maschinenlesbaren Version der Universität Trier: http://www.mhgta.uni-trier.de";"Der Text besteht aus 5320 Verszeilen beginnend mit Vers 1. Dazwischen stehen zahlreiche Überschriften.



Vollständig lemmatisiert, aber noch nicht disambiguiert.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000----h;;4;;"Fr das Werk gibt es folgende Handschriftenzeugnisse:

Gotha, Forschungsbibl., Cod. Chart. A 3

Graz, Universitätsbibl., Cod. 470

München, Staatsbibl., Cgm 7330

Wien, Österr. Nationalbibl., Cod. 15225

Wolfenbüttel, Herzog August Bibl., Cod. 1.5.2. Aug. 2°

Wolfenbüttel, Herzog August Bibl., Cod. 1.16. Aug. 2°";;;;CHH;1910;1;;;;;;;;;;;;;;;
Der Wucherer;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 177 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DWU;;;;;;;;;;;;;;;;;
Der Roßtäuscher;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 186 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DRT;;;;;;;;;;;;;;;;;
Falsche und rechte Milte;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia u. dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 194 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Lemmatisiert, noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;FRM;;;;;;;;;;;;;;;;;
Die Männler;4;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte. III. Die Heidelberger Handschrift Cod. Pal. Germ. 341. Hrsg. v. Gustav Rosenhagen, Dublin/Zürich: Weidmann 1970. (= Deutsche Texte des Mittelalters Bd. XVII). Der elektronische Text basiert zum Teil auf dem vom Electronic Text Center der University of Virginia / dem Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier erstellten Text, revidiert von Lesley C. Pleasant and Cindy Filer Speer.;"Die vorgeschriebene Abschnittnummer 199 entspricht der Nummer des Kleingedichtes in der Ausgabe. Übergeschriebene Vokale wurden aufgelöst.

Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000aaa---h;;3;;;;KMH;Kleinere mittelhochdeutsche Erzählungen, Fabeln und Lehrgedichte;DML;;;;;;;;;;;;;;;;;
Lambrechts Alexander;565;"Lamprechts Alexander; nach den drei Texten, mit dem Fragment des Alberic von Besançon und den lateinischen Quellen hrsg. und erklärt von Karl Kinzel. Halle a. S.: Buchhandlung des Waisenhauses, 1884. (= Germanistische Handbibliothek; Bd. 6)

Digitale Version basiert auf den Fassungen von Steven M. Wight (siehe: http://dobc.unipv.it/scrineum/wight/alexsv.htm) und von Ralf Schlechtweg-Jahn, 

Bayreuth 2000 und Jost Gippert, Bayreuth, 31.07.2000 / Frankfurt, 19.4.2002 / 2.3.2003. Siehe: http://titus.uni-frankfurt.de/texte/etcs/germ/mhd/a_strass/a_str.htm";"Der Text besteht aus insgesamt 7097 Versen beginnend mit Vers 1 und endend mit Vers 7302. Nach Vers 508 folgt der Einschub aus Alberic von Besançon bestehend aus 245 Versen. Danach folgt eine Lücke. Es geht dann weiter mit Vers 959 bis zum Ende.

Voll lemmatisiert, aber noch nicht disambiguiert.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000----iii;;10;Strassburger Hs.;;Diese um 1170 entstandene Fassung behandelt in 7302 Versen das ganze Leben Alexanders. Der unbekannte Bearbeiter spiegelt im Alexanderlied die Wirklichkeit staufischer Politik seiner Zeit.;;;AXS;;;;;;;;;;;;;;;;;
Das Kochbuch aus dem Deutschen Orden;;"Gollub, Hermann(Hg.): Aus der Küche der deutschen Ordensritter. 

In: Prussia 31(1935), S. 118-124.

Die edigitale Version basiert auf einer Version von Thomas Gloning, 7/99.";"Der Text beginnt auf S. 119 und besteht aus 33 Rezepten, beginnent mit der Nummer 1. Das zweite Rezept unter der Nummer 24 wird als Einschub geführt. Die vom Herausgeber in runden Klammern gezeigten Emendationen erscheinen hier in kursiv.



Voll lemmatisiert aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000pppaa--hi;1300;161;;Laut Gollub könnte der Text auf der Basis der Schrift aus der zweiten Hälfte des 15. Jahrhunderts stammen.(S. 118);;;;KDO;;;;;;;;;;;;;;;;;
