form	count	sample_contexts
speisen	5	seinen opfer speisen Das ist || iren opfer speisen in einem || gewonlichen opfer speisen in semlichen
vorgebunge	5	ewerr svnden vorgebunge vnd reinigunge || das nennen vorgebunge allen wonern || iare der vorgebunge vnd der
nevkomen	5	von den nevkomen di do || seit meine nevkomen vnd meine || sam ein nevkomen vnd sam
funfczigste	5	soltu das funfczigste iare vnd || vnd das funfczigste ist es || alders das funfczigste iar erfullen
abtgote	5	euch kein abtgote noch kein || czu irr abtgote heilicheit Und || alle irr abtgote hŏe vorwustet
achtunge	5	vnd noch achtunge nicht mag || vber die achtunge das funfte || teil der achtunge des geldis
NUMERI	5	dem menschen NUMERI PRIMUS LIBRUM || czogen wur NUMERI den geczalt || des geczeuk NUMERI nusse vnd
czalte	5	vber der czalte sie als || schaf Und czalte als vnser || priesters Nu czalte dorvmme vnd
funfczigsten	5	zu dem funfczigsten iare aller || zu dem funfczigsten iare alle || zu dem funfczigsten iare alle
iacincteinen	5	den ganczen iacincteinen mantil vnd || in einen iacincteinen mantil vnd || nemen einen iacincteinen mantel mit
vorvluchten	5	geen die vorvluchten wasser in || pŭchil die vorvluchten vnd sol || von den vorvluchten Wenne der
silbereines	5	scot ein silbereines trinkvas behaldende || scot ein silbereines trinkvas habende || scot ein silbereines trinkvas habende
widersagunge	5	wasser der widersagunge do krigten || wassern der widersagunge Heb ouf || in der widersagunge der me
gepowet	5	dan zu gepowet werde die || sie hatten gepowet Uorwar die || nicht hast gepowet cisternen die
richticlichen	5	sult ir richticlichen halden vnd || sullit ir richticlichen veiern Und || ir begeen richticlichen vnd einen
gemowerten	5	kindern die gemowerten stete Wir || in den gemowerten steten durch || vnd die gemowerten stete vnd
poslich	5	wenne iene poslich haben getan || do tvn poslich in der || meinem tode poslich werdet tvn
westnischen	5	zu dem westnischen mer werden || gegen dem westnischen teile der || in dem westnischen teile der
nordnischen	5	in dem nordnischen teile der || seiten des nordnischen teyles Und || in dem nordnischen teile in
mageschefte	5	durch ire mageschefte stete vnd || durch seine mageschefte vnd sein || durch ire mageschefte stete vnd
vorkeren	4	PROLOGUS gar vorkeren Also wil || Nicht soltu vorkeren das gerichte || wirt her vorkeren ouf deine
entsprussen	4	der ekker entsprussen Vnd e || siben eher entsprussen ous eynem || durre erslagen entsprussen ous einem
kvnst	4	holcze der kvnst gutes vnd || haben die kvnst das sie || geneter gevogilter kvnst Und funf
bozes	4	gutes vnd bozes sal tu || gutes vnd bozes Nu sach || sprechen Ein bozes wildes tyr
enpfenknusse	4	vnd deine enpfenknusse In wetagen || noch der enpfenknusse einen svn || die leczte enpfenknusse so legte
bŏses	4	gutes vnd bŏses Dorvmbe nv || mir gedenckende bŏses Got vnd || her ein bŏses wilt hat
vordristen	4	von den vordristen seiner hert || lies die vordristen vnd stund || herczen die vordristen gaben vnserm
gerechter	4	ein g gerechter vnd ein || Sie ist gerechter wenne ich || sein ein gerechter schŏffil vnd
dovme	4	in einer dovme elen saltu || vmbhenge hundert dovme elen lank || hatte czwu dovme elen in
yeclichem	4	Czwei aus yeclichem sulln y̆ngeen || lege einem yeclichem wider sein || vnd reichte yeclichem ł speise
czweinczigisten	4	siben vnd czweinczigisten tage des || von dem czweinczigisten iare vncz || zu dem czweinczigisten gibt das
susicheit	4	ruch der susicheit vnd sprach || vorkart in susicheit Do saczte || ruche der susicheit ein werk
sibenczick	4	Und lebte sibenczick iare vnd || funf vnd sibenczick iare vnd || der huf sibenczick aber was
vlohen	4	bliben die vlohen vf die || stvnden dorvmme vlohen von ERI || wachsen vnd vlohen zu dem
egiptische	4	c GENE egiptische meit die || sie ir egiptische mait daz || der vrowen egiptische mait Und
vorsmehte	4	hette do vorsmehte sie ire || das er vorsmehte do entslos || sach sich vorsmehte do rufte
setczen	4	ich wil setczen meinen frid || Und wil setczen meinen frid || wirt dich setczen wider an
gesprochn	4	das er gesprochn hat Und || das do gesprochn hette mein || euch zu gesprochn hat ous
gene	4	pflagen wenne gene Und taten || wenick vnd gene werden sich || die vrasen gene siben ochsen
vorsuchte	4	geschach do vorsuchte got vnde || vnd do vorsuchte er in || vnd worumbe vorsuchte ir vnsern
czwiualdige	4	gebe die czwiualdige gruft die || was ein czwiualdige gruft sehende || cloubten si czwiualdige speise das
hŏrest	4	du mich hŏrest Ich wil || das du hŏrest Nu do || das du hŏrest die stimme
vmbringe	4	in dem vmbringe abraamen zu || in dem vmbringe der bach || in dem vmbringe vnd sprich
ouswendig	4	het gestalt ouswendig der stat || inwendig vnd ouswendig Und ł || der stete ouswendig vmme vnd
schapfte	4	sie wasser schapfte vnd schapfte || schapfte vnd schapfte vnd gab || brvnne vnd schapfte wasser Und
vorstopfet	4	do hetten vorstopfet etwenne die || dem gewande vorstopfet vnd vortumet || ouge ist vorstopfet Gesprochen hat
grosern	4	svne dem grosern Und sprach || hende des grosern svnes gleichnusse || grabe meiner grosern Dem antworte
kvndigte	4	endlich vnd kvndigte das irem || NUM vnd kvndigte dem volke || kint vnd kvndigte sprechende vnd
entkegen	4	er im entkegen vnd vil || her im entkegen czuge gegen || seinem vater entkegen bis zu
enpfienk	4	Und die enpfienk vnd geperte || einem beislafen enpfienk das weip || geslechte die enpfienk vnd gepar
weiczes	4	snite des weiczes ouf den || menige des weiczes das man || ein wenig weiczes Czu dem
Worvmbe	4	sprach zu Worvmbe hastu also || sprach er Worvmbe wŏlt ir || ist her Worvmbe habt ir
czweinczik	4	ich dorumbe czweinczik iar gewesen || scot hat czweinczik helblinge Die || czweihundert vnd czweinczik man die
gepilgereimet	4	hab ich gepilgereimet vnd bin || in der gepilgereimet hette vnd || in der gepilgereimet hette sein
svnderte	4	geslief do svnderte er ous || rechten schuldern svnderte erhebende sie || geben Do svnderte drei stete
Worczu	4	Er antworte Worczu suchestu meinen || der wustenunge Worczu hastu das || der mensch Worczu dorvmme sterbe
wŏllen	4	sprach Was wŏllen dise vrowen || friedsam vnd wŏllen wonen mit || ouf steigen wŏllen ouf die
wŏlt	4	euch nicht wŏlt besneiden so || was ir wŏlt Nemet der || er Worvmbe wŏlt ir also tvn
erschreksal	4	begreiffe das erschreksal gotes die || sie die erschreksal vnd vorchte || senden dem erschreksal vnd deine
vorweser	4	einer was vorweser der schenken || vnd die vorweser der werk || vnd die vorweser der werk
geprufet	4	warheit wurde geprufet Und doch || heute wirt geprufet Besneidet dorvmme || has wirt geprufet svnder einveldiclich
wuchsen	4	eher die wuchsen ous einem || Siben eher wuchsen ous einem || kinder von wuchsen vnd ł
schŏner	4	vnd gar schŏner Und ander || ochsen gar schŏner ous dem || vnd gar schŏner Und anderr
czirde	4	siben eher czirde vnd ł || nicht mein czirde wenne in || zu einer czirde Und sprich
czouberern	4	zu allen czouberern in vnd || ich den czouberern den trovm || vnd den czouberern vnd dise
setunge	4	ny keiner setunge spor svnder || in der setunge Do von || zu der setunge vorchtende keines
geczeigt	4	hat er geczeigt Siben schone || perge ist geczeigt Nache ouch || spracht Sich geczeigt hat vns
egiptischer	4	in aller egiptischer erden Noch || yn noch egiptischer czungen den || sie Ein egiptischer man hat
setcze	4	der do setcze ł probste || gomor vnd setcze das vor || geiticheit vnd setcze ous in
vorkarte	4	erden Und vorkarte seinen namen || hŏren vnd vorkarte seinen vluch || vnd die vorkarte was wider
svndigt	4	nicht Nicht svndigt in das || geheiligt sint svndigt so opfer || die do svndigt vnd vorsmeht
yeclichen	4	legten einem yeclichen sein gelt || vnd gesegente yeclichen mit irn || kindern einem yeclichen gleich teil
laset	4	bruder einen laset ir bei || euch noch laset euch das || ir hin laset ewer hende
geczeuge	4	ste ein geczeuge XLU SIS || des fewers geczeuge Alle vas || des fewers geczeuge crewel vnd
gepeut	4	erden Und gepeut in ouch || Das dorvmme gepeut im so || dem volk gepeut sprechende Czihen
heis	4	besten stat heis sie wonen || herren die heis sich heiligen || geslechte vnd heis sie steen
samte	4	den selben samte her alles || perge vnd samte sich wider || U Und samte alles volk
rvnnen	4	vns zu rvnnen Den antworte || ist zu rvnnen zu rvnnen || rvnnen zu rvnnen ist vns
grŏser	4	bruder wirt grŏser wenne her || den gaben grŏser in der || lenger ye grŏser vnd enthilt
steet	4	die do steet vber den || das do steet ein lugenhaftiger || tut Ir steet heute alle
tŏtet	4	ist so tŏtet es ist || schaf vnd tŏtet das oder || wo man tŏtet das gancz
ousseczig	4	her si ousseczig her wider || ist her ousseczig die entsprossen || ist vnd ousseczig sol her
werkes	4	des herten werkes Und ł || pfelle gemengtis werkes Und czu || der ichtesicht werkes dor an
vorwandeln	4	wirt sich vorwandeln in ein || sullen sie vorwandeln in einen || ich nicht vorwandeln das wort
czouberei	4	in irr czouberei taten also || den die czouberei treiben sult || Nicht ist czouberei in noch
vorhertet	4	also Und vorhertet wart das || hercze wart vorhertet vnd EXO || do nv vorhertet was herr
wissest	4	das du wissest wenne ich || das du wissest das vnsers || kvnigs vnd wissest das dein
vorseret	4	alle Und vorseret wart die || gersten was vorseret do von || wurden nicht vorseret W wenne
vortirbet	4	DUS teſnícht vortirbet von den || nicht das vortirbet Und sie || isset der vortirbet Die sele
dŏner	4	das die dŏner gotis zu || werden die dŏner vnd der || horten die dŏner vnd der
ew̆ern	4	herlichn in ew̆ern geslechten ewiges || euch in ew̆ern geperungen so || rechten in ew̆ern geperungen vnd
slaher	4	czihen den slaher in ewer || stirbet der slaher wirt nicht || stirbt Der slaher wirt der
tovsent	4	sechs hunderstunt tovsent an kinder || in die tovsent der do || ouch czwei tovsent Vnd gegen
vlisende	4	die erde vlisende mit milch || wasser Das vlisende wasser stunde || di erde vlisende von milch
svndern	4	saltu ous svndern alles das || teil soltu svndern von allen || iare soltu svndern einen andern
esils	4	erstgeborne des esils saltu wechsiln || Nicht seines esils noch alles || gepurt des esils lose mit
erstegeburt	4	Aber alle erstegeburt des menschen || herre alle erstegeburt in von || an die erstegeburt des vihes
vŏr	4	waren in vŏr ein mawer || alters czihende vŏr in dem || funften iare vŏr das knechtil
gesetet	4	mit broten gesetet Und werdet || vnd wirst gesetet so hŭte || vnd wirst gesetet vnd schone
cloubten	4	taten vnd cloubten einer mere || Aber vru cloubten sie ein || tage vorwar cloubten si czwiualdige
hunderter	4	tousenter vnd hunderter vnd funfcziger || tousenter vnd hunderter vnd funfcziger || vnd die hunderter Do sprachen
besuchet	4	der do besuchet die svnde || der do besuchet die svnde || ein pflage besuchet mit der
peinige	4	betruben noch peinige in nicht || knechte Nicht peinige in mit || anderlei enthaldunge peinige ire sele
geverbte	4	vnd rot geverbte widers heute || veiol var geverbte heute vnd || vnd iacinctische geverbte heute sethimisch
veinem	4	in mit veinem golde vnd || werden von veinem golde Als || yn mit veinem golde vnd
czweien	4	Ringelein vnder czweien stengiln an || czal von czweien czil iaren || ringel vnder czweien stengeln an
pilder	4	noch dem pilder als dir || noch dem pilder als dir || Noch dem pilder den vnser
leineinen	4	sneweissem weichen leineinen czwir DUS || ist den leineinen rok vnd || mit der leineinen niderwat Und
geneter	4	die mit geneter kunst mancherlei || gebleicht mit geneter kunst mancherhande || pfelle von geneter gevogilter kvnst
iacincte	4	vbirdecke von iacincte geverbten heuten || von seideynem iacincte vnd von || werke von iacincte von purper
velcze	4	tafeln czwen velcze mit den || zu samen velcze Und also || C Czwen velcze waren an
genetem	4	gebleichet mit genetem wercke mancherlei || gurtil von genetem gevŏgiltem werke || gebleichet mit genetem mancher hande
vorhanges	4	Des selbin vorhanges funfczehen doum || ouserthalbe des vorhanges der do || ouserhalb des vorhanges als vnser
hŏen	4	in irn hŏen czu beiden || in beiden hŏen der gnaden || in iren hŏen zu sammen
gewurchte	4	Und das gewurchte vnd alles || noch dem gewurchte des humerales || noch dem gewurchte edler steine
iacinctischen	4	humerals mit iacinctischen bendlein so || die mit iacinctischen bendlein vnd || hoube mit iacinctischen pendlein als
vorlouben	4	in der vorlouben des geczeldis || turn der vorlouben Pflŏcke zu || in der vorlouben des geczeuknusses
thimiamische	4	das ewige thimiamische puluer in || euch das thimiamische puluer Ein || vnd das thimiamische puluer oniknien
puluers	4	des thimiamischen puluers Und den || des thimiamischen puluers Der salbunge || des thimiamischen puluers von sethimischem
gehŏret	4	irm dienste gehŏret Und heilige || des alters gehŏret die seil || habe ich gehŏret Sage dorvmme
vornunft	4	vnd mit vornunft mit kunst || vnd mit vornunft vnd mit || weisheit vnd vornunft so das
werfe	4	ich ous werfe den vnd || ist vnd werfe die ous || ouch ous werfe wenne ir
wonern	4	mit den wonern der selbin || vorgebunge allen wonern der erden || zu den wonern die do
sneiden	4	vnd von sneiden Die hochczeit || vleisch zu sneiden noch keiner || saltu nicht sneiden Und die
iacinct	4	sie kanten iacinct purpir vnd || pfelle von iacinct von purpir || hange der iacinct geverbten heute
vnderscheiden	4	gevŏgiltem werke vnderscheiden Und vir || wisset die vnderscheiden des reinen || mit vellen vnderscheiden erhillet so
grebil	4	vnd die grebil des geczeldis || vnd die grebil mit iren || grunden vnd grebil mit iren
vmrink	4	in den vmrink des alters || in den vmrink des alters || durch den vmrink des alters
turkiltouben	4	herren von turkiltouben keuchiln Und || her czwu turkiltouben oder czwei || geopfern czwu turkiltouben oder die
rure	4	svnde Und rure die h || vinger vnd rure die hŏrner || vinger vnd rure die horner
vorgisset	4	sei vnd vorgisset seiner vnreinikeit || vnreinen vnd vorgisset des vnd || rede vnd vorgisset des vnd
eph	4	do heisset eph Nicht tu || do heisset eph sullen sie || do heisset eph besprenget mit
vngemeiligten	4	svnde einen vngemeiligten wider von || opfer einen vngemeiligten wider noch || er ein vngemeiligten wider von
vorczern	4	die lasen vorczern bis VI || das fewer vorczern Welcher des || f fewer vorczern Und von
geheiligte	4	stirn das geheiligte guldeine blech || gereinigte vnd geheiligte do gos || sie die geheiligte speise essen
gepirt	4	ein meidel gepirt so bleibt || die do gepirt die erde || wedir veigen gepirt noch wein
glencze	4	ein leuchtende glencze ist an || in ein glencze vorkart sei || das die glencze stet an
vorvrteile	4	vorkart so vorvrteile her in || ist so vorvrteile her in || sol so vorvrteile her sie
sperling	4	Und einen sperling tote her || den lebendigen sperling so das || tote einen sperling in einem
gevrteilet	4	wirt her gevrteilet dem gebrechen || sache werde gevrteilet Aber von || her nicht gevrteilet N Nicht
vormeiligen	4	so sie vormeiligen mein geczelt || sie das vormeiligen Ich herre || das icht vormeiligen di wenne
pocke	4	andern eim pocke eym ous || in den pocke dem ousgesanten || funf czigen pocke funf ierige
vorpruen	4	vnd in vorpruen in dem || sol her vorpruen mit in || wirt es vorpruen Besammen wil
moloch	4	ab got moloch noch meilige || dem aptgote moloch des todes || dem aptgote moloch Und hat
aptgote	4	samen dem aptgote moloch des || samen dem aptgote moloch Und || samen dem aptgote moloch noch
geheiligten	4	namen der geheiligten mir di || von den geheiligten wenne geheiligt || von den geheiligten isset vnwissende
erstlingen	4	von den erstlingen sol sie || hute meiner erstlingen alles das || opfer der erstlingen also wol
veierliche	4	wirt der veierliche tack der || die ir veierliche vnd heilicliche || vnd die veierliche hochczeit vnd
gelosen	4	man das gelosen ouch in || man in gelosen Welcher do || in nicht gelosen Dorvmme wenne
povm	4	vnd die povm werden mit || der mitterste povm als alles || Alle deine povm vnd die
giengt	4	das ir giengt ouf gericht || Und ir giengt alle zu || Und ir giengt zu den
vorczeren	4	euch werden vorczeren vnd ewer || wirt euch vorczeren Und ist || wil si vorczeren Dich wil
vorworfen	4	das sie vorworfen haben mein || ich sie vorworfen noch hab || das ir vorworfen habt den
Icliche	4	zu sprechende Icliche svnderlich noch || nider gelegit Icliche an iren || haben mynner Icliche noch der
iacincteiner	4	ein vberdecke iacincteiner heute vnd || ein vberdeke iacincteiner heute vnd || ein vberdecke iacincteiner heute vnd
weihrouches	4	scoten voller weihrouches einen ochsen || scot voller weihrouches ein ochsen || scot voller weihrouches ein ochssen
opfer;	4	der heilicheit opfer; ein guldein || der heilicheit opfer; ein guldein || der heilikeit opfer; ein guldein
weirouchs	4	scot voller weirouchs einen ochsen || scot voller weirouchs einen W || scot voller weirouchs einen ochsen
vmmegangen	4	lant heten vmmegangen vnd qua || wir haben vmmegangen die vrisset || wir haben vmmegangen ist gar
vleusset	4	werlicher dinge vleusset von milch || seinem wasservasse vleusset wasser vnd || dem perge vleusset Und in
vrisset	4	vmmegangen die vrisset ire inwoner || die kv vrisset Und denne || bis her vrisset den roup
vorsuchet	4	vnd haben vorsuchet ouch zu || als du vorsuchet hast an || wenne euch vorsuchet ewer herre
vorwuste	4	die nv vorwuste das fewer || die vnd vorwuste die vnd || sturme vnd vorwuste sie wenne
vnmeslicher	4	entkegen mit vnmeslicher menige vnd || starckes vnd vnmeslicher menige Und || vnd wegen vnmeslicher menige Und
veldunge	4	in der veldunge erden von || vnd sein veldunge vnd ein || vnd alle veldunge vncz bis
vmmeringe	4	in ewerm vmmeringe sint Wenne || in dem vmmeringe Die ecker || in dem vmmeringe alle heiden
bouches	4	frucht deines bouches vnd der || frucht deines bouches vnd di || frucht deines bouches vnd die
vortirbest	4	du gar vortirbest als die || bis du vortirbest Der himel || bis du vortirbest wenne du
new̆komen	4	DEUTRO der new̆komen der mit || gerichte des new̆komen vnd des || als der new̆komen also der
wirbel	4	ouf den wirbel Fure dich || von dem wirbel der alden || ouf den wirbel des nazareers
geczugen	4	sie vber geczugen do sprach || wir vber geczugen e IOSUE || wir vber geczugen so das
zudnischen	4	von dem zudnischen teile das || teil des zudnischen teiles Sein || gegen dem zudnischen teile Und
magscheften	4	noch irn magscheften besiczunge der || noch iren magscheften Dise besiczunge || in irn magscheften vorwar dem
vorleuset	3	arbeit er vorleuset Wenne also || das her vorleuset Ist das || vorterbet vnd vorleuset dich endlich
sendest	3	das du sendest mir Deiner || wen du sendest mit mir || vns hin sendest do wŏlle
volfuren	3	gut Muze volfuren in seinen || sie schuldig; volfuren schol sie || NUM mugen volfuren die rache
slechten	3	mit gleichen slechten dingen In || mit geteilten slechten veldungen durch || crone mit slechten geteilten velden
vorslant	3	erde lebending vorslant In aller || mvnt vnd vorslant sie mit || die erde vorslant mit heusern
vorwese	3	das es vorwese dem tage || das es vorwese der nacht || das er vorwese den vischen
krichende	3	die wasser krichende tyr lebendiges || vich vnd krichende tyr vnd || vich vnd krichende tyr die
kreuchet	3	das do kreuchet auf der || das do kreuchet ouf der || das do kreuchet vnd hat
gevŏgel	3	vnd alles gevŏgel des himels || vnd alles gevŏgel des hiemels || vber alles gevŏgel mit allem
wissende	3	die gote wissende gutes vnd || oder im wissende ist es || gesvndet nicht wissende das du
vorbarg	3	tage Do vorbarg sich vnd || eilte vnd vorbarg die gŏte || egipten vnd vorbarg in in
antlitcze	3	vor dem antlitcze vnsers herren || ouf sein antlitcze Und got || sprach Mein antlitcze wirt dir
eisereine	3	ereine vnd eisereine werck Aber || vas vnd eisereine das sie || du sprichest eisereine wegen haben
nevnczig	3	lebte vorwar nevnczig iar vnd || funf vnd nevnczig iare Und || nevn vnd nevnczig iar alt
sechczick	3	czwei vnd sechczick iar vnd || czwei vnd sechczick iare vnd || funf vnde sechczick iare vnd
dovmelen	3	sie Dreihundert dovmelen sol haben || vnd funfczick dovmelen ir breite || himel Funfczehen dovmelen was das
funfczick	3	archen vnd funfczick dovmelen ir || die erde funfczick vnd hundert || minnern noch funfczick vnd hundert
hŏhe	3	volenden seine hŏhe Aber die || in die hŏhe von der || turme des hŏhe reiche bis
vortilgt	3	sint werden vortilgt Und ich || wirt her vortilgt vnd wirt || bis her vortilgt wirt von
ergussen	3	der flute ergussen auf der || der flute ergussen sich auf || wenne sterclich ergussen sie sich
vierczick	3	auf erden vierczick tage vnd || tage vnd vierczick nacht Und || fur quamen vierczick tag do
spiczen	3	erschinen die spiczen an den || vnd hat spiczen wirt euch || scharen vnd spiczen czugen sie
toube	3	aus die toube noch im || wider die toube aus der || erden wirt toube rŏte vorczeren
vorgeusset	3	der do vorgeusset menschlich blut || wollende blut vorgeusset Wer mit || andern blut vorgeusset Und also
cleinem	3	vnd in cleinem der erden || gar czu cleinem puluer gestosest || von cl cleinem vihe von
begreiffen	3	sie nicht begreiffen also das || erfullet Vnd begreiffen wirt der || svnde wirt begreiffen euch Bowet
geczelen	3	mag yemant geczelen vnder den || der ouch geczelen Ste auf || Wer mŏcht geczelen den stoup
bewegte	3	geben Dorūmbe bewegte sein geczelt || bruder noch bewegte sich kein || nachtes vnd bewegte die purge
dreiczehenden	3	in dem dreiczehenden iare SIS || ŏl besprenget dreiczehenden zu yclichen || ŏl besprenget dreiczehenden zu yclichem
hŏchsten	3	gote dem hŏchsten herren der || Uon den hŏchsten werde ich || zu dem hŏchsten perge Uon
czele	3	himel vnd czele die sterne || vliessen so czele sie siben || funfczig iaren; czele alle die
besitczest	3	du sie besitczest Und her || das du besitczest di erden || ein czihende besitczest die erde
tuestu	3	sprach zu tuestu gegen mir || sprach Was tuestu nicht vŏrchte || svnde oder tuestu des nicht
pflagte	3	Und dorumbe pflagte sie vnd || her dich pflagte vnd bekorte || nicht Dich pflagte her mit
czwischn	3	meinen frid czwischn mir vnd || im vnd czwischn ouf durch || einem geczeuknusse czwischn vns vnd
besneidunge	3	czeit seiner besneidunge Des selben || durch die besneidunge Aber vnser || der andern besneidunge Als volk
geczeldes	3	tur seines geczeldes vnd neigte || dach des geczeldes Die lenge || tur des geczeldes des geczeuknusse
voraldent	3	Nu ich voraldent bin vnd || ich bin voraldent vnd weis || Ich bin voraldent vnd vorgangnes
vorhelen	3	mag ich vorhelen das ich || nicht mere vorhelen mochte do || ł nicht vorhelen Nicht vorchtet
wirftu	3	vierczig was wirftu tvn Er || gelobt Leihen wirftu vil geslechten || Und toten wirftu vridsame opfertir
vorterbest	3	samt in vorterbest in der || mit samt vorterbest Und sprach || du mich vorterbest vnd vinde
gesundigt	3	Was wir gesundigt in dich || wir habn gesundigt in vnsern || Ich hab gesundigt ouch nv
geperten	3	vnd sie geperten Wenne got || ruten vnd geperten alle fleckechte || lon So geperten alle schaf
rittermeister	3	vnd der rittermeister seines heres || vnd sein rittermeister zu den || hern dem rittermeister czu den
Hŏre	3	antworten die Hŏre vns herre || zu in Hŏre die elichen || von honikseim Hŏre u Unser
silbereiner	3	vir hundert silbereiner schot scot || hundert scoth silbereiner vnd vorsuchter || virczig grunden silbereiner czwene grunde
cziren	3	ŏrringe zu cziren ir antlicze || steine zu cziren das humeral || steine zv cziren das humerale
knite	3	diener do knite er ouf || erloste Do knite das volk || Und endlich knite nider ouf
Ŭmb	3	gar mude Ŭmb dise geschicht || mit czorne Ŭmb was schult || dem fuze Ŭmb dise sache
vorkoufte	3	swur vnd vorkoufte sein erste || man speise vorkoufte zu Und || seinem gepot vorkoufte man getreide
geweitet	3	vnser herre geweitet vnd wachsende || du wirst geweitet gegen westen || geveistet vnd geweitet Vorlasen hat
kvndigten	3	knechte vnd kvndigten im von || menige vnd kvndigten das Der || erden vnd kvndigten in sprechende
etheers	3	tochter des etheers ł Und || tochter des etheers Und die || acker des etheers gegen in
czickel	3	czwei gute czickel das ich || coche das czickel in der || koche das czickel in der
erstgeborner	3	bins dein erstgeborner svn Ich || ł mein erstgeborner du mein || herre Mein erstgeborner ich hab
nyme	3	sprach Nicht nyme dir ein || kein weip nyme nicht von || czu vnd nyme von in
ŏhems	3	tern deines ŏhems Got aber || schaf seines ŏhems vnd wegte || mit seines ŏhems h -
gelies	3	in nv gelies do czoch || nv ous gelies do furte || er sie gelies in ire
vorchtlich	3	ey wie vorchtlich s sprach || der heilicheit vorchtlich vnd loblich || was aller vorchtlich Und der
trenkte	3	selben brvnne trenkte man die || was vnd trenkte die herte || iuncvrowen vnd trenkte in die
pŏcke	3	vnd die pŏcke vnd die || czwen czigen pŏcke vor die || czwen czigen pŏcke tu her
einerlei	3	do waren einerlei varbe weisser || gesaczt gleich einerlei fuge sullen || opfertir habn einerlei recht Den
weisser	3	einerlei varbe weisser vnd swarczer || sein czene weisser wenne die || einer seule weisser wolken Durch
vormischunge	3	hitcze irr vormischunge an sahen || des samens vormischunge dich nicht || mit der vormischunge nicht besprengt
gereichet	3	czeit vnd gereichet wart der || habt im gereichet das swert || alles NOMIUS gereichet svnder gedencke
begreiffe	3	tage vnd begreiffe in ouf || czogen do begreiffe das erschreksal || swerlichn vnd begreiffe des vaters
hertlichen	3	du icht hertlichen zu redist || icht redest hertlichen czu Do || des landes hertlichen vnd douchte
gerichten	3	nicht ouf gerichten mag Wenne || in grosen gerichten Und wil || mit grosen gerichten das die
gehŏren	3	vrowen Und gehŏren sie ouch || herren vnd gehŏren an dich || do mugen gehŏren vncz bis
Ew̆er	3	ander brawtschaft Ew̆er tŏchter gebt || in essen Ew̆er lenden sult || der czorn Ew̆er bruder vnd
vnczimlichen	3	menschen das vnczimlichen vnd schande || den bŏsen vnczimlichen wercken Und || sich Wenne vnczimlichen was zu
eichen	3	vnder einer eichen die do || vnder einer eichen Und er || stat namen eichen clage Und
pilgereimunge	3	erde irr pilgereimunge mocht sie || tage der pilgereimunge meines lebens || erde irr pilgereimunge in der
Czeige	3	suche ich Czeige mir wo || her sprach Czeige mir dein || dich C Czeige dir vnser
bevoln	3	im hette bevoln Und vnser || er das bevoln aber was || sein gut bevoln vnd er
pecken	3	ander der pecken V Und || sach der pecken meister daz || fursten der pecken Und saczte
rittermeisters	3	kercker des rittermeisters in dem || kercker des rittermeisters Do wir || des selbin rittermeisters diener dem
ouslegunge	3	gotis die ouslegunge Saget mir || des troumes ouslegunge Drei weinreben || ist die ouslegunge des trovmes
gepflogen	3	vor hast gepflogen Nur alleine || vor habt gepflogen Do man || vor heten gepflogen Aber das
reissen	3	vleisch zu reissen vnd von || nicht zu reissen das ir || nicht zu reissen Und zu
grvne	3	SIS die grvne abrupften Und || die gerste grvne was vnd || die noch grvne sint so
grŏse	3	fruchtbercheit die grŏse des hungers || erbe vor grŏse des ł || in der grŏse deiner stercke
betrubsal	3	vns dicz betrubsal Und einer || von ganczem betrubsal deiner sele || sele mit betrubsal vorczeret Und
beheglichn	3	in euch beheglichn das er || das es beheglichn sei Alles || es muge beheglichn gesein des
gebracht	3	haben wider gebracht Sunder ouch || habe wir gebracht so das || vnserm herren gebracht hat her
grŏste	3	Und das grŏste teil qwame || aber das grŏste sei das || ist der grŏste priester vnder
trvnken	3	trat Nu trvnken vnd assen || weiczes vnd trvnken das allir || veistikeit vnd trvnken irn opfer
vordrucken	3	das do vordrucken wirt meinen || gelt noch vordrucken mit gewalt || d dich vordrucken wirt dein
gegenwortige	3	an dise gegenwortige czeit beide || als der gegenwortige tak czeiget || in dise gegenwortige czeit seit
czeite	3	der bluenden czeite was es || In der czeite des newen || beschreien alle czeite die weile
czimet	3	Nicht also czimet es vater || zu essen czimet wer seinen || das do czimet zu opfern
amorren	3	ous des amorren hant in || hatte dem amorren Und das || von den amorren Und sein
nazareer	3	seiner spicze nazareer vnder seinen || gelubdes den nazareer von dem || mag der nazareer trinken wein
kvnnen	3	sie in kvnnen helfen E || das sie kvnnen machen czymmer || dink vnd kvnnen vinden ouch
vessil	3	ein sinewelles vessil von czeinen || ersach das vessil in den || brachte das vessil das tat
czagel	3	bei dem czagel Nu rakte || in den czagel vnd wirst || in den czagel Und kvmen
egestern	3	vnd von egestern vnd sint || vnd von egestern vnd man || vnd von egestern vnd hat
cloubt	3	Geet vnd cloubt sie also || tage die cloubt An dem || ir zusammen cloubt getreide vnd
Worumme	3	herren sprechende Worumme tustu also || deinen diener Worumme vinde ich || siczen alhie Worumme vorkeret ir
geraktem	3	in ouf geraktem arme vnd || in ouf geraktem arme Dorvmme || in ous geraktem arme in
gerakt	3	der do gerakt hat sein || do ous gerakt het sein || her nicht gerakt ł habe
gesteen	3	mochten nicht gesteen vor vor || Noch mag gesteen vor seinen || Nicht magstu gesteen vor deinen
